LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,type,Number,Collector - Emitter Voltage VCEO,Pd - Power Dissipation,Current - Collector(Ic),Operating Temperature,DC Current Gain,Vce Saturation(VCE(sat)),Current - Collector Cutoff,Emitter-Base Voltage VEBO,Configuration,Transition frequency(fT)
C52801,"BC817-40,215",Nexperia,https://datasheet.lcsc.com/datasheet/pdf/82b42ce666a535f4f2a2391d7fd3bc11.pdf?productCode=C52801,48560,0.0218,20,20,https://www.lcsc.com/product-detail/C52801.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,45V,345mW,500mA,-65℃~+150℃,250,700mV,100nA,5V,,100MHz
C57668,"BC847B,215",Nexperia,https://datasheet.lcsc.com/datasheet/pdf/20c442603f6f08402006a0aaf04ed9eb.pdf?productCode=C57668,218350,0.0174,50,50,https://www.lcsc.com/product-detail/C57668.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,45V,250mW,100mA,-65℃~+150℃,200,200mV,5uA,6V,,100MHz
C82460,MMBT2222ALT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/31cda5e51b6f7e7d91f3d4d349b0313f.pdf?productCode=C82460,1036050,0.0177,50,50,https://www.lcsc.com/product-detail/C82460.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,40V,225mW,600mA,-55℃~+150℃,35,300mV,10nA,6V,,300MHz
C87062,"BC846B,215",Nexperia,https://datasheet.lcsc.com/datasheet/pdf/9c08b77694048fd16013146e693b7c14.pdf?productCode=C87062,174200,0.0186,20,20,https://www.lcsc.com/product-detail/C87062.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,65V,250mW,100mA,-65℃~+150℃,200,200mV,5uA,6V,,100MHz
C57316,"BC807-40,215",Nexperia,https://datasheet.lcsc.com/datasheet/pdf/2f5d41b78080769d6fdb6d567d857713.pdf?productCode=C57316,123260,0.0251,20,20,https://www.lcsc.com/product-detail/C57316.html,SOT-23,Tape & Reel (TR),PNP,1 PNP,45V,250mW,500mA,-65℃~+150℃,250,700mV,100nA,5V,,80MHz
C81464,MMBT3904LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/5a6a3bba5fef41e5a9294c8cb36bd011.pdf?productCode=C81464,1617100,0.0141,50,50,https://www.lcsc.com/product-detail/C81464.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,40V,225mW,200mA,-55℃~+150℃,40,200mV,50nA,6V,,300MHz
C8666,"BC857C,215",Nexperia,https://datasheet.lcsc.com/datasheet/pdf/6c0edb818855f1ad14f21123b1527807.pdf?productCode=C8666,191640,0.0235,20,20,https://www.lcsc.com/product-detail/C8666.html,SOT-23,Tape & Reel (TR),PNP,1 PNP,45V,250mW,100mA,-65℃~+150℃,420,250mV,15nA,5V,,100MHz
C8664,"BC847C,215",Nexperia,https://datasheet.lcsc.com/datasheet/pdf/20c442603f6f08402006a0aaf04ed9eb.pdf?productCode=C8664,348800,0.0194,50,50,https://www.lcsc.com/product-detail/C8664.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,45V,250mW,100mA,-65℃~+150℃,420,400mV,15nA,6V,,100MHz
C53444,MMBT3906LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/2919ef50b979489aaaa8c3a43863cc63.pdf?productCode=C53444,785150,0.0174,50,50,https://www.lcsc.com/product-detail/C53444.html,SOT-23,Tape & Reel (TR),PNP,1 PNP,40V,225mW,200mA,-55℃~+150℃,60,250mV,50nA,5V,,250MHz
C40752,MMBT2907ALT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/112adcbdc1324aee8cbb120489eb8160.pdf?productCode=C40752,139160,0.0232,20,20,https://www.lcsc.com/product-detail/C40752.html,SOT-23,Tape & Reel (TR),PNP,1 PNP,60V,350mW,600mA,-55℃~+150℃,75,1.6V,10nA,5V,,200MHz
C916374,MMBT3904,JSMSEMI,https://datasheet.lcsc.com/datasheet/pdf/4b7f01978c8aff77d44fef0a51d97648.pdf?productCode=C916374,1337300,0.0070,100,100,https://www.lcsc.com/product-detail/C916374.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,40V,250mW,200mA,-55℃~+150℃,100,300mV,50nA,6V,,300MHz
C18536,2N3904S-RTK/PS,KEC,https://datasheet.lcsc.com/datasheet/pdf/72a53966107c48ec8ea76d7e2accf63a.pdf?productCode=C18536,206925,0.0117,25,25,https://www.lcsc.com/product-detail/C18536.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,40V,350mW,200mA,-,100,300mV,50nA,6V,,300MHz
C916390,S8050,JSMSEMI,https://datasheet.lcsc.com/datasheet/pdf/2161f89242167fa564f02e36ac158d5c.pdf?productCode=C916390,1039000,0.0067,100,100,https://www.lcsc.com/product-detail/C916390.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,25V,300mW,500mA,-,350,600mV,100nA,5V,Standalone,150MHz
C916370,MMBT5551,JSMSEMI,https://datasheet.lcsc.com/datasheet/pdf/ecd9a7ed968c4a647e197cb86a051d9c.pdf?productCode=C916370,919900,0.0090,50,50,https://www.lcsc.com/product-detail/C916370.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,160V,250mW,600mA,-55℃~+150℃,80,200mV,50nA,6V,,100MHz
C8667,"PMBT3904,215",Nexperia,https://datasheet.lcsc.com/datasheet/pdf/f1f21de9af9a3906d81205cadea09879.pdf?productCode=C8667,38450,0.0165,50,50,https://www.lcsc.com/product-detail/C8667.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,40V,250mW,200mA,-65℃~+150℃,100,200mV,50nA,6V,,300MHz
C33960091,MMDT5551-JSM,JSMSEMI,https://datasheet.lcsc.com/datasheet/pdf/d628a8f694589f346b04a6a695d544ab.pdf?productCode=C33960091,52100,0.0217,20,20,https://www.lcsc.com/product-detail/C33960091.html,SOT-363,Tape & Reel (TR),NPN,2 NPN,160V,200mW,200mA,-,300,200mV,50nA,6V,,300MHz
C916372,MMBT2222A,JSMSEMI,https://datasheet.lcsc.com/datasheet/pdf/7e76791117f18673ac34573199b24168.pdf?productCode=C916372,287450,0.0110,50,50,https://www.lcsc.com/product-detail/C916372.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,20V,300mW,350mA,-55℃~+150℃,300,1V,10nA,6V,,300MHz
C59205,"BC857B,215",Nexperia,https://datasheet.lcsc.com/datasheet/pdf/6c0edb818855f1ad14f21123b1527807.pdf?productCode=C59205,51560,0.0323,20,20,https://www.lcsc.com/product-detail/C59205.html,SOT-23,Tape & Reel (TR),PNP,1 PNP,45V,250mW,100mA,-65℃~+150℃,220,250mV,15nA,5V,,100MHz
C18221467,S8050-J3Y,JSMSEMI,https://datasheet.lcsc.com/datasheet/pdf/726a1605f96e1abff7926cc5fe1c1258.pdf?productCode=C18221467,823500,0.0054,100,100,https://www.lcsc.com/product-detail/C18221467.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,25V,300mW,300mA,-,350,600mV,100nA,5V,,150MHz
C609806,BC817-40,Slkor,https://datasheet.lcsc.com/datasheet/pdf/454a95dde435bca8362f996c36adc10e.pdf?productCode=C609806,322650,0.0151,50,50,https://www.lcsc.com/product-detail/C609806.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,45V,300mW,500mA,-,250,700mV,100nA,5V,,100MHz
C41095,MMBT5551LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/8d53e1a2316a448b81375c64a0599a42.pdf?productCode=C41095,511350,0.0229,50,50,https://www.lcsc.com/product-detail/C41095.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,160V,300mW,600mA,-55℃~+150℃,80,250mV,100nA,6V,,
C39828,"BC817-25,215",Nexperia,https://datasheet.lcsc.com/datasheet/pdf/82b42ce666a535f4f2a2391d7fd3bc11.pdf?productCode=C39828,18000,0.0376,10,10,https://www.lcsc.com/product-detail/C39828.html,SOT-23,Tape & Reel (TR),NPN,1 NPN,45V,250mW,500mA,-65℃~+150℃,160,700mV,100nA,5V,,100MHz
C5184407,S8550,HXY MOSFET,https://datasheet.lcsc.com/datasheet/pdf/ec791efe53b28fa63d14bec22969ce6f.pdf?productCode=C5184407,173750,0.0105,50,50,https://www.lcsc.com/product-detail/C5184407.html,SOT-23,Tape & Reel (TR),PNP,1 PNP,25V,300mW,500mA,-,120,600mV,100nA,5V,,150MHz
