LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C14663,CC0603KRX7R9BB104,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C14663,5651900,0.0030,100,100,https://www.lcsc.com/product-detail/C14663.html,0603,Tape & Reel (TR),100nF,±10%,50V,X7R
C1591,CL10B104KB8NNNC,Samsung Electro-Mechanics,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1591,8965600,0.0028,100,100,https://www.lcsc.com/product-detail/C1591.html,0603,Tape & Reel (TR),100nF,±10%,50V,X7R
C49678,CC0805KRX7R9BB104,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C49678,6831400,0.0053,100,100,https://www.lcsc.com/product-detail/C49678.html,0805,Tape & Reel (TR),100nF,±10%,50V,X7R
C60474,CC0402KRX7R7BB104,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C60474,15515200,0.0011,100,100,https://www.lcsc.com/product-detail/C60474.html,0402,Tape & Reel (TR),100nF,±10%,16V,X7R
C77020,GRM155R71H104KE14D,muRata,https://datasheet.lcsc.com/datasheet/pdf/64ac52ef9cc4e1905eba7e2ece85e662.pdf?productCode=C77020,3108400,0.0034,100,100,https://www.lcsc.com/product-detail/C77020.html,0402,Tape & Reel (TR),100nF,±10%,50V,X7R
C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C19702,1700350,0.0080,50,50,https://www.lcsc.com/product-detail/C19702.html,0603,Tape & Reel (TR),10uF,±10%,10V,X5R
C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1525,7703200,0.0013,100,100,https://www.lcsc.com/product-detail/C1525.html,0402,Tape & Reel (TR),100nF,±10%,16V,X7R
C315248,CL05A106MP5NUNC,Samsung Electro-Mechanics,https://datasheet.lcsc.com/datasheet/pdf/c508c8c9fb74608de8f27609d6b601ea.pdf?productCode=C315248,1001340,0.0092,20,20,https://www.lcsc.com/product-detail/C315248.html,0402,Tape & Reel (TR),10uF,±20%,10V,X5R
C100042,CC0603KRX7R9BB103,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C100042,4346500,0.0025,100,100,https://www.lcsc.com/product-detail/C100042.html,0603,Tape & Reel (TR),10nF,±10%,50V,X7R
C15849,CL10A105KB8NNNC,Samsung Electro-Mechanics,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C15849,154750,0.0078,50,50,https://www.lcsc.com/product-detail/C15849.html,0603,Tape & Reel (TR),1uF,±10%,50V,X5R
