LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Voltage - Forward(Vf@If),DC Reverse Voltage(Vr),Current - Rectified,Diode Capacitance,Reverse Leakage Current (Ir),Pd - Power Dissipation,Operating Junction Temperature Range,Non-Repetitive Peak Forward Surge Current
C146374,1SS315TPH3F,TOSHIBA,https://datasheet.lcsc.com/datasheet/pdf/3c5fc966d3334600b33525680433bce5.pdf?productCode=C146374,35300,0.0960,5,5,https://www.lcsc.com/product-detail/C146374.html,SC-76(SOD-323),Tape & Reel (TR),Standalone,250mV@2mA,5V,30mA,,25uA@0.5V,,,
C151442,1N5711WS-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/91a6b526e6d4ff3457c59cdb2477ada2.pdf?productCode=C151442,24260,0.0417,20,20,https://www.lcsc.com/product-detail/C151442.html,SOD-323,Tape & Reel (TR),Standalone,1V@15mA,70V,15mA,,200nA@50V,,-55℃~+125℃,
C5310874,BAT1503WE6327HTSA1,Infineon,https://datasheet.lcsc.com/datasheet/pdf/148baeae591be25e3fe6b9ece6f7425a.pdf?productCode=C5310874,11995,0.4843,1,1,https://www.lcsc.com/product-detail/C5310874.html,SOD-323,Tape & Reel (TR),1 Independent,410mV@10mA,4V,110mA,,5uA@1V,,,
C154843,1N5711W-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/1d9d0cbb989c0848bbf3209028023740.pdf?productCode=C154843,5150,0.1367,5,5,https://www.lcsc.com/product-detail/C154843.html,SOD-123,Tape & Reel (TR),Standalone,1V@15mA,70V,15mA,,200nA@50V,,-55℃~+125℃,
C152510,MMBD452LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/80175ba042e64b3995c8a77540e127fb.pdf?productCode=C152510,4660,0.1839,5,5,https://www.lcsc.com/product-detail/C152510.html,SOT-23,Tape & Reel (TR),1 Pair Series Connection,450mV@1mA,30V,-,,200nA@25V,,-55℃~+125℃,
C6791125,"1SV307(TPH3,F)",TOSHIBA,https://datasheet.lcsc.com/datasheet/pdf/1f1677e27a36d77b9b04ff5eb491d3dc.pdf?productCode=C6791125,2915,0.1627,5,5,https://www.lcsc.com/product-detail/C6791125.html,SC-76(SOD-323),Tape & Reel (TR),Standalone,1V@50mA,30V,50mA,,100nA,,,
C6294386,MADL-011021-14150T,MACOM,https://datasheet.lcsc.com/datasheet/pdf/00807858d076d6b993527268d09b58fa.pdf?productCode=C6294386,396,4.6802,1,1,https://www.lcsc.com/product-detail/C6294386.html,TDFN-6(1.2x1.5),Tape & Reel (TR),-,-,-,-,,-,,-,-
C5380972,BAT1504WH6327XTSA1,Infineon,https://datasheet.lcsc.com/datasheet/pdf/207e1d7360fca575c6e9170080feaab3.pdf?productCode=C5380972,1882,0.5034,1,1,https://www.lcsc.com/product-detail/C5380972.html,SOT323-3,Tape & Reel (TR),1 Pair Series Connection,410mV@10mA,4V,110mA,,5uA@1V,,-55℃~+150℃,-
C4468400,SMS7621-040LF,SKYWORKS,https://datasheet.lcsc.com/datasheet/pdf/a5dd27c47c7af3bc40daa9b719451e69.pdf?productCode=C4468400,879,1.0718,1,1,https://www.lcsc.com/product-detail/C4468400.html,0402,Tape & Reel (TR),1 Independent,320mV@1mA,2V,50mA,,,,-65℃~+150℃,
C4467981,MADL-011023-14150T,MACOM,https://datasheet.lcsc.com/datasheet/pdf/8fe7c7392c14b0ed12f9cb6493f9eb3f.pdf?productCode=C4467981,220,3.6009,1,1,https://www.lcsc.com/product-detail/C4467981.html,TDFN-6(1.2x1.5),Tape & Reel (TR),-,-,-,,-,-,-,,
C283247,1N5711,ST,https://datasheet.lcsc.com/datasheet/pdf/749418b03a3270fe491833c5d40e3108.pdf?productCode=C283247,8750,0.0567,10,10,https://www.lcsc.com/product-detail/C283247.html,DO-35,Tape & Reel (TR),Standalone,1V@15mA,70V,15mA,,200nA@50V,,,
