LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number,Type,Drain to Source Voltage,Configuration,Current - Continuous Drain(Id),Pd - Power Dissipation,Gate Threshold Voltage (Vgs(th)),RDS(on),Gate Charge(Qg),Operating Temperature	-,Input Capacitance(Ciss),Reverse Transfer Capacitance (Crss@Vds),Output Capacitance(Coss),Vgs
C65189,"2N7002,215",Nexperia,https://datasheet.lcsc.com/datasheet/pdf/5799b048ec886fff0aa915589422b872.pdf?productCode=C65189,301140,0.0260,20,20,https://www.lcsc.com/product-detail/C65189.html,SOT-23,Tape & Reel (TR),1 N-channel,N-Channel,60V,,300mA,830mW,2.5V,5Ω@10V,,-65℃~+150℃,50pF,3.5pF,6.8pF,±30V
C485534,CSD19505KCS,TI,https://datasheet.lcsc.com/datasheet/pdf/5c73b120651fa9588e4de9e096f618c1.pdf?productCode=C485534,779,1.9743,1,1,https://www.lcsc.com/product-detail/C485534.html,TO-220,Tube-packed,1 N-channel,N-Channel,80V,,208A,300W,2.6V,2.6mΩ@10V,76nC@10V,-55℃~+175℃,7.82nF,34pF,2.08nF,
C82045,BSS138LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/7f2d773fd4284d558538ebc799c27c6e.pdf?productCode=C82045,586820,0.0418,10,10,https://www.lcsc.com/product-detail/C82045.html,SOT-23,Tape & Reel (TR),1 N-channel,,50V,,200mA,225mW,500mV,5.6Ω@2.75V,,-55℃~+150℃,50pF,5pF,,
C20917,AO3400A,AOS,https://datasheet.lcsc.com/datasheet/pdf/130876b936da464599428c58fd8de8f6.pdf?productCode=C20917,913665,0.0828,5,5,https://www.lcsc.com/product-detail/C20917.html,SOT-23,Tape & Reel (TR),1 N-channel,N-Channel,30V,-,5.7A,1.4W,1.45V,48mΩ@2.5V,7nC@10V,-55℃~+150℃,630pF,50pF,75pF,
C15127,AO3401A,AOS,https://datasheet.lcsc.com/datasheet/pdf/fee353dd1e9e0bc90b295f14f381aa4c.pdf?productCode=C15127,892200,0.0589,10,10,https://www.lcsc.com/product-detail/C15127.html,SOT-23,Tape & Reel (TR),1 P-Channel,-,30V,,4A,-,900mV,47mΩ@10V;60mΩ@4.5V;85mΩ@2.5V,14nC@10V,-,645pF,55pF,80pF,
C2566,IRF540NPBF,Infineon,https://datasheet.lcsc.com/datasheet/pdf/9da9bb8177a54eb299754f7f52e20142.pdf?productCode=C2566,49495,0.3569,5,5,https://www.lcsc.com/product-detail/C2566.html,TO-220AB,Tube-packed,1 N-channel,N-Channel,100V,,33A,130W,4V,44mΩ@10V,71nC@10V,-55℃~+175℃,1.96nF,40pF,,
C16338,2N7002LT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/3922d2955e8f49518553319ef9445941.pdf?productCode=C16338,680180,0.0309,20,20,https://www.lcsc.com/product-detail/C16338.html,SOT-23,Tape & Reel (TR),1 N-channel,N-Channel,60V,,115mA,225mW,2.5V,7.5Ω@10V,-,-55℃~+150℃,50pF,5pF,25pF,
C15310,FDV301N,onsemi,https://datasheet.lcsc.com/datasheet/pdf/93a935c137014f7189ca430583afc519.pdf?productCode=C15310,45280,0.0404,20,20,https://www.lcsc.com/product-detail/C15310.html,SOT-23,Tape & Reel (TR),1 N-channel,N-Channel,25V,,220mA,350mW,1.06V,5Ω@2.7V,700pC@4.5V,-55℃~+150℃,9.5pF,1.3pF,6pF,
C40912,BSS138-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/e14366bd137adeb6bb9eee9bd5f8402d.pdf?productCode=C40912,115980,0.0404,20,20,https://www.lcsc.com/product-detail/C40912.html,SOT-23,Tape & Reel (TR),1 N-channel,,50V,,200mA,300mW,1.2V,1.4Ω@10V,,-55℃~+150℃,50pF,8pF,25pF,
C2586,IRFZ44NPBF,Infineon,https://datasheet.lcsc.com/datasheet/pdf/57f3afe8a41347279e6a73df985eb00b.pdf?productCode=C2586,60000,0.2881,5,5,https://www.lcsc.com/product-detail/C2586.html,TO-220AB,Tube-packed,1 N-channel,,55V,,49A,94W,4V,17.5mΩ@10V,63nC@10V,-55℃~+175℃,1.47nF,88pF,,
