LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Inductance,Current - Saturation(Isat),Tolerance,Current Rating,DC Resistance(DCR),Q @ Frequency,Type,Frequency - Self Resonant,Ratings
C122469,XFL4020-222MEC,Coilcraft,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,14872,1.1219,1,1,https://www.lcsc.com/product-detail/C122469.html,"SMD,4x4mm",Tape & Reel (TR),2.2uH,3.7A,±20%,8A,21.35mΩ,,,,
C86083,LQM18FN100M00D,muRata,https://datasheet.lcsc.com/datasheet/pdf/34d69d8558950288c31064aa91713943.pdf?productCode=C86083,180520,0.0975,5,5,https://www.lcsc.com/product-detail/C86083.html,0603,Tape & Reel (TR),10uH,50mA,±20%,50mA,1.17Ω,-,,30MHz,-
C882955,DFE252012P-1R0M=P2,muRata,https://datasheet.lcsc.com/datasheet/pdf/b1c27368142cd2fe341dba35c71339e1.pdf?productCode=C882955,20110,0.1441,5,5,https://www.lcsc.com/product-detail/C882955.html,1008,Tape & Reel (TR),1uH,4.3A,±20%,4.3A,42mΩ,,-,,-
C435392,DFE252012F-1R0M=P2,muRata,https://datasheet.lcsc.com/datasheet/pdf/0dc89483a78e98ffcb2e4fafa3d565e2.pdf?productCode=C435392,26540,0.1417,5,5,https://www.lcsc.com/product-detail/C435392.html,1008,Tape & Reel (TR),1uH,4.7A,±20%,3.3A,40mΩ,,,,
C5189958,CYA0630-10UH,SHOU HAN,https://datasheet.lcsc.com/datasheet/pdf/e0582c3238fd8dead0582a78aa01a13e.pdf?productCode=C5189958,52160,0.1540,5,5,https://www.lcsc.com/product-detail/C5189958.html,"SMD,7.2x6.6mm",Tape & Reel (TR),10uH,5.5A,±20%,4A,71mΩ,,,,
C86092,LQM2HPN2R2MG0L,muRata,https://datasheet.lcsc.com/datasheet/pdf/49d2ceffead8c8f037161cc06db950d9.pdf?productCode=C86092,22760,0.0912,10,10,https://www.lcsc.com/product-detail/C86092.html,1008,Tape & Reel (TR),2.2uH,-,±20%,1.3A,100mΩ,-,,40MHz,-
C360734,VLS6045EX-100M,TDK,https://datasheet.lcsc.com/datasheet/pdf/a256e417242218601e919cb125a60f5a.pdf?productCode=C360734,21020,0.1339,5,5,https://www.lcsc.com/product-detail/C360734.html,"SMD,6x6mm",Tape & Reel (TR),10uH,3.9A,±20%,3.4A,47mΩ,,-,,-
C181721,SMMS0530-100M,Shun Xiang Nuo,https://datasheet.lcsc.com/datasheet/pdf/d0d5acb256e849938d6708ba4d0d5b6c.pdf?productCode=C181721,70830,0.1129,5,5,https://www.lcsc.com/product-detail/C181721.html,"SMD,5.5x5.2mm",Tape & Reel (TR),10uH,3.5A,±20%,3.2A,125mΩ,,Molded Inductor,,
C177246,FXL0530-4R7-M,cjiang,https://datasheet.lcsc.com/datasheet/pdf/9072344370debcf88f3b085e450e71ce.pdf?productCode=C177246,273355,0.2599,5,5,https://www.lcsc.com/product-detail/C177246.html,"SMD,5.4x5.2mm",Tape & Reel (TR),4.7uH,5A,±20%,4.5A,60mΩ,,Molded Inductor,,
C177242,FXL0420-100-M,cjiang,https://datasheet.lcsc.com/datasheet/pdf/9072344370debcf88f3b085e450e71ce.pdf?productCode=C177242,158970,0.2486,5,5,https://www.lcsc.com/product-detail/C177242.html,"SMD,4.4x4.2mm",Tape & Reel (TR),10uH,2.2A,±20%,1.6A,282mΩ,,Molded Inductor,,
C167223,FXL0630-100-M,cjiang,https://datasheet.lcsc.com/datasheet/pdf/9072344370debcf88f3b085e450e71ce.pdf?productCode=C167223,228275,0.1695,5,5,https://www.lcsc.com/product-detail/C167223.html,"SMD,7x6.6mm",Tape & Reel (TR),10uH,5.5A,±20%,4.5A,68mΩ,,Molded Inductor,,-
C86131,LQW18AN10NG00D,muRata,https://datasheet.lcsc.com/datasheet/pdf/5fb79f5c8c6097ebbcac88f03045db4f.pdf?productCode=C86131,55930,0.0455,10,10,https://www.lcsc.com/product-detail/C86131.html,0603,Tape & Reel (TR),10nH,-,±2%,650mA,110mΩ,,Unshielded Inductor,,-
C76798,MLZ1608M100WT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/e509de56baff45f8205b34b96f35b973.pdf?productCode=C76798,54780,0.0457,10,10,https://www.lcsc.com/product-detail/C76798.html,0603,Tape & Reel (TR),10uH,90mA,±20%,250mA,1.05Ω,-,Multilayer inductor,2MHz,-
