LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number of Channels,Amplifier Type,Vcm - Common Mode Voltage,Gain Bandwidth Product,Single Supply,Common Mode Rejection Ratio(CMRR),Maximum Power Supply Range (Vdd-Vss),-3dB Bandwidth,Dual Supply,Ib - Input Bias Current,Gain,Rail to Rail,Vos - Input Offset Voltage,Bandwidth,Slew Rate,Input Offset Voltage Drift(Vos TC),Quiescent Current,Output Type,Operating Temperature,Input Offset Current(Ios),Input Voltage Noise Density,Differential Voltage,Current - Supply,Input offset current drift(Ios TC),Voltage - Supply(Input),Voltage - Supply(Output),Output Current,Noise density(eN),Features,Settling time,Power Supply Rejection Ratio (PSRR)
C403864,AD8615AUJZ-REEL7,ADI,https://datasheet.lcsc.com/datasheet/pdf/bd48010c14874e57889e6bfdeef8ef60.pdf?productCode=C403864,5359,3.3045,1,1,https://www.lcsc.com/product-detail/C403864.html,TSOT-23-5,Tape & Reel (TR),1,,,24MHz,2.7V~5V,100dB,,,,1pA,,"Rail-to-Rail Input, Rail-to-Rail Output",23uV,,12V/us,10uV/℃,2mA,,-40℃~+125℃,0.5pA,10nV/√Hz@1kHz,,,,,,150mA,,Built-in compensation;Reverse-phase input protection,,
C9641,AD8605ARTZ-REEL7,ADI,https://datasheet.lcsc.com/datasheet/pdf/ee2fff76c7f5457f925ffb4c3d274e3b.pdf?productCode=C9641,5320,1.2987,1,1,https://www.lcsc.com/product-detail/C9641.html,SOT-23-5,Tape & Reel (TR),1,,,10MHz,2.7V~5.5V,100dB,,,,0.2pA,,"Rail-to-Rail Input, Rail-to-Rail Output",65uV,,5V/us,4.5uV/℃,1.2mA,,-40℃~+125℃,0.5pA,8nV/√Hz@1kHz,,,,,,80mA,,Built-in compensation,,
C9676,AD623ARZ-R7,ADI,https://datasheet.lcsc.com/datasheet/pdf/566951c755ec4b2fa4fa676a62313740.pdf?productCode=C9676,3740,4.0633,1,1,https://www.lcsc.com/product-detail/C9676.html,SOIC-8,Tape & Reel (TR),1,,,800kHz,3V~12V,80dB,12V,,-6V~-2.5V;2.5V~6V,25nA,,Rail-to-rail output,200uV,,0.3V/us,100nV/℃,550uA,-,-40℃~+85℃,250pA,,,,5pA/℃,,,,35nV/√Hz@1kHz,External resistor gain,20us,80dB
C473369,TLV333IDBVR,TI,https://datasheet.lcsc.com/datasheet/pdf/9f4325e0ea2948bcdd97e8e54990af57.pdf?productCode=C473369,33240,0.3218,5,5,https://www.lcsc.com/product-detail/C473369.html,SOT-23-5,Tape & Reel (TR),1,,,350kHz,1.8V~5.5V,102dB,,,-2.75V~-900mV;900mV~2.75V,70pA,,"Rail-to-Rail Input, Rail-to-Rail Output",2uV,,0.16V/us,20nV/℃,17uA,,-40℃~+125℃,140pA,55nV/√Hz@1kHz,,,,,,5mA,,EMI filtering/RF suppression;Zero drift / auto-zero;Built-in compensation;Reverse-phase input protection,,
C459905,AD8606ARMZ-REEL,ADI,https://datasheet.lcsc.com/datasheet/pdf/9edae86a8a1e3fc6c9920b8fcd7af937.pdf?productCode=C459905,3808,4.5113,1,1,https://www.lcsc.com/product-detail/C459905.html,MSOP-8,Tape & Reel (TR),2,,,10MHz,2.7V~5.5V,100dB,,,,1pA,,"Rail-to-Rail Input, Rail-to-Rail Output",65uV,,5V/us,4.5uV/℃,1.2mA,,-40℃~+125℃,0.5pA,8nV/√Hz@1kHz,,,,,,80mA,,Built-in compensation;Reverse-phase input protection;Overvoltage protection,,
C7377,MCP6002T-I/SN,MICROCHIP,https://datasheet.lcsc.com/datasheet/pdf/e34ab395f01d53f1e893b6004de17b98.pdf?productCode=C7377,77280,0.2650,5,5,https://www.lcsc.com/product-detail/C7377.html,SOIC-8,Tape & Reel (TR),2,,,1MHz,1.8V~6V,76dB,7V,,-,1pA,,"Rail-to-Rail Input, Rail-to-Rail Output",4.5mV,,600V/ms,2uV/℃,100uA,,-40℃~+125℃,1pA,28nV/√Hz@1kHz,,,-,,,23mA,,-,,
C16418,OP2177ARZ-REEL7,ADI,https://datasheet.lcsc.com/datasheet/pdf/9fabfc26dd4aee1c626805fa1ce3c5fa.pdf?productCode=C16418,2032,3.2862,1,1,https://www.lcsc.com/product-detail/C16418.html,SOIC-8,Tape & Reel (TR),2,,,1.3MHz,,126dB,,,-15V~15V,500pA,,,15uV,,0.7V/us,700nV/℃,400uA,,-40℃~+125℃,1nA,8.5nV/√Hz@1kHz,,,,,,10mA,,Built-in compensation;Reverse-phase input protection;Overvoltage protection,,
C7950,LM358DR2G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/6e027cbb78e54e6f93d2bb9049a549fd.pdf?productCode=C7950,683510,0.0622,10,10,https://www.lcsc.com/product-detail/C7950.html,SOIC-8,Tape & Reel (TR),2,,,-,3V~32V,70dB,32V,,-16V~16V,45nA,,-,7mV,,-,7uV/℃,700uA,,0℃~+70℃,5nA,-,,,10pA/℃,,,40mA,,Built-in compensation;ESD protection,,
C5423,LM358DR,TI,https://datasheet.lcsc.com/datasheet/pdf/15e76e5a54e249468598e3cd1deb82d5.pdf?productCode=C5423,148885,0.0752,5,5,https://www.lcsc.com/product-detail/C5423.html,SOIC-8,Tape & Reel (TR),2,,,700kHz,3V~32V,99dB,32V,,-16V~16V,20nA,,-,3mV,,300V/ms,7uV/℃,700uA,,0℃~+70℃,2nA,40nV/√Hz@1kHz,,,10pA/℃,,,20mA,,EMI filtering/RF suppression,,
C9418,LM358DT,ST,https://datasheet.lcsc.com/datasheet/pdf/a5b6a025dde928c22fbb85eabdd38c94.pdf?productCode=C9418,124925,0.0799,5,5,https://www.lcsc.com/product-detail/C9418.html,SO-8,Tape & Reel (TR),2,,,1.1MHz,3V~30V,85dB,32V,,-,200nA,,-,7mV,,600V/ms,30uV/℃,1.2mA,,0℃~+70℃,30nA,55nV/√Hz@1kHz,,,300pA/℃,,,40mA,,Built-in compensation,,
