LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Power(Watts),Voltage Rating,Temperature Coefficient,Operating Temperature
C2903232,MF1/4W-10K±1%-ST52,VO,https://datasheet.lcsc.com/datasheet/pdf/056778fc22ae118b55bed9161ea6c1d8.pdf?productCode=C2903232,365600,0.0068,100,100,https://www.lcsc.com/product-detail/C2903232.html,"Through Hole,D2.7xL6.2mm",Box-packed,Metal Film Resistor,10kΩ,±1%,250mW,250V,±100ppm/℃,-55℃~+155℃
C2903245,MF1/4W-1K±1%-ST52,VO,https://datasheet.lcsc.com/datasheet/pdf/3d88b32d70c1caeb98b8f0af6e559f73.pdf?productCode=C2903245,158800,0.0069,100,100,https://www.lcsc.com/product-detail/C2903245.html,"Through Hole,D2.7xL6.2mm",Tape & Reel (TR),Metal Film Resistor,1kΩ,±1%,250mW,250V,±100ppm/℃,-55℃~+155℃
C1740200,PR01000101001JR500,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/406be0cad9e912b9a61fbcd7556fa5b7.pdf?productCode=C1740200,9635,0.1176,5,5,https://www.lcsc.com/product-detail/C1740200.html,"Through Hole,D2.5xL6.5mm",Tape & Reel (TR),Metal Film Resistor,1kΩ,±5%,1W,,±250ppm/℃,-55℃~+155℃
C1366145,MBB02070C1000FCT00,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/23f6602c46cc2915e11a90627cbc02d0.pdf?productCode=C1366145,11340,0.0573,10,10,https://www.lcsc.com/product-detail/C1366145.html,"Through Hole,D2.5xL6.5mm",Box-packed,Metal Film Resistor,100Ω,±1%,600mW,,±50ppm/℃,-55℃~+155℃
C1365641,VR37000001005JA100,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/375b3cd96e571100c7b5db3cb04e3eb9.pdf?productCode=C1365641,13745,0.1426,5,5,https://www.lcsc.com/product-detail/C1365641.html,"Through Hole,D4xL9mm",Box-packed,Metal Film Resistor,10MΩ,±5%,500mW,,±200ppm/℃,-55℃~+155℃
C1364389,MBB02070C1001FCT00,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/23f6602c46cc2915e11a90627cbc02d0.pdf?productCode=C1364389,18480,0.0592,10,10,https://www.lcsc.com/product-detail/C1364389.html,"Through Hole,D2.5xL6.5mm",Tape & Reel (TR),Metal Film Resistor,1kΩ,±1%,600mW,,±50ppm/℃,-55℃~+155℃
C1364285,MBB02070Z0000ZCT00,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/4ae877273bea1c8d5e0d1c31ed59a7bc.pdf?productCode=C1364285,14090,0.0840,5,5,https://www.lcsc.com/product-detail/C1364285.html,"Through Hole,D2.5xL6.5mm",Box-packed,Metal Film Resistor,0Ω,,600mW,350V,-,-55℃~+155℃
C172967,MFR-25FTE52-10K,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/78d4ba5bf7705bcd93e9318716385ddc.pdf?productCode=C172967,232100,0.0125,50,50,https://www.lcsc.com/product-detail/C172967.html,"Through Hole,D2.4xL6.3mm",Tape & Reel (TR),Metal Film Resistor,10kΩ,±1%,250mW,,±50ppm/℃,-55℃~+155℃
C172965,MFR-25FTE52-100K,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/78d4ba5bf7705bcd93e9318716385ddc.pdf?productCode=C172965,35350,0.0133,50,50,https://www.lcsc.com/product-detail/C172965.html,"Through Hole,D2.4xL6.3mm",Box-packed,Metal Film Resistor,100kΩ,±1%,250mW,,±50ppm/℃,-55℃~+155℃
C119339,MF1/4W-4.7KΩ±1% T,CCO(Chian Chia Elec),https://datasheet.lcsc.com/datasheet/pdf/442097c559f2eb401b6de319ad027dae.pdf?productCode=C119339,81150,0.0115,50,50,https://www.lcsc.com/product-detail/C119339.html,"Through Hole,D2.3xL6.5mm",Box-packed,Metal Film Resistor,4.7kΩ,±1%,250mW,250V,±100ppm/℃,-55℃~+155℃
C6533463,CFR-25JB-52-470R,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/f0f3a83063ebf64abe482cdf33f1844a.pdf?productCode=C6533463,10350,0.0049,50,50,https://www.lcsc.com/product-detail/C6533463.html,"Through Hole,D2.4xL6.3mm",Bag-packed,Carbon Film Resistor,470Ω,±5%,250mW,,-500ppm/℃~+350ppm/℃,-55℃~+155℃
C5618323,CFR-25JB-52-10K,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/f0f3a83063ebf64abe482cdf33f1844a.pdf?productCode=C5618323,19000,0.0085,50,50,https://www.lcsc.com/product-detail/C5618323.html,"Through Hole,D2.4xL6.3mm",Bag-packed,Carbon Film Resistor,10kΩ,±5%,250mW,,-500ppm/℃~+350ppm/℃,-55℃~+155℃
C3495531,MFR-25FBF52-1K2,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/78d4ba5bf7705bcd93e9318716385ddc.pdf?productCode=C3495531,10200,0.0091,50,50,https://www.lcsc.com/product-detail/C3495531.html,"Through Hole,D2.4xL6.3mm",Bag-packed,Metal Film Resistor,1.2kΩ,±1%,250mW,,±100ppm/℃,-55℃~+155℃
C2649453,MFR-25FRF52-10K,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/78d4ba5bf7705bcd93e9318716385ddc.pdf?productCode=C2649453,19050,0.0167,50,50,https://www.lcsc.com/product-detail/C2649453.html,"Through Hole,D2.4xL6.3mm",Tape & Reel (TR),Metal Film Resistor,10kΩ,±1%,250mW,,±100ppm/℃,-55℃~+155℃
C1374618,MFR50SFTE52-820R,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/78d4ba5bf7705bcd93e9318716385ddc.pdf?productCode=C1374618,10050,0.0199,50,50,https://www.lcsc.com/product-detail/C1374618.html,"Through Hole,D2.4xL6.3mm",Box-packed,Metal Film Resistor,820Ω,±1%,500mW,,±50ppm/℃,-55℃~+155℃
C1371935,MFR-25FTF52-47K,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/78d4ba5bf7705bcd93e9318716385ddc.pdf?productCode=C1371935,14450,0.0119,50,50,https://www.lcsc.com/product-detail/C1371935.html,"Through Hole,D2.4xL6.3mm",Tape & Reel (TR),Metal Film Resistor,47kΩ,±1%,250mW,-,±100ppm/℃,-55℃~+155℃
C1370651,MFR-25FTF52-100K,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/78d4ba5bf7705bcd93e9318716385ddc.pdf?productCode=C1370651,21000,0.0062,50,50,https://www.lcsc.com/product-detail/C1370651.html,"Through Hole,D2.4xL6.3mm",Box-packed,Metal Film Resistor,100kΩ,±1%,250mW,-,±100ppm/℃,-55℃~+155℃
C1367555,MFR-25FBF52-95K3,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/78d4ba5bf7705bcd93e9318716385ddc.pdf?productCode=C1367555,10000,0.0169,50,50,https://www.lcsc.com/product-detail/C1367555.html,"Through Hole,D2.4xL6.3mm",Bag-packed,Metal Film Resistor,95.3kΩ,±1%,250mW,,±100ppm/℃,-55℃~+155℃
C1365706,CFR-25JB-52-22R,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/f0f3a83063ebf64abe482cdf33f1844a.pdf?productCode=C1365706,27900,0.0086,50,50,https://www.lcsc.com/product-detail/C1365706.html,"Through Hole,D2.4xL6.3mm",Bag-packed,Carbon Film Resistor,22Ω,±5%,250mW,,-500ppm/℃~+350ppm/℃,-55℃~+155℃
C1364438,MBB02070C4702FCT00,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/4ae877273bea1c8d5e0d1c31ed59a7bc.pdf?productCode=C1364438,8960,0.1037,5,5,https://www.lcsc.com/product-detail/C1364438.html,"Through Hole,D2.5xL6.5mm",Tape & Reel (TR),Metal Film Resistor,47kΩ,±1%,600mW,,±50ppm/℃,-55℃~+155℃
C914808,FMP300JT-73-100K,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/80402315d1a9cd9759eecba81cac5cfa.pdf?productCode=C914808,34060,0.0710,10,10,https://www.lcsc.com/product-detail/C914808.html,"Through Hole,D5xL15.5mm",Tape & Reel (TR),Metal Film Resistor,100kΩ,±5%,3W,750V,±100ppm/℃,-55℃~+155℃
C714002,MF1/4W-2.2KΩ±1%T52,Huaxing Mechanical-Elec.,https://datasheet.lcsc.com/datasheet/pdf/cc04a249497b88f0540743ff8c78b039.pdf?productCode=C714002,136100,0.0075,100,100,https://www.lcsc.com/product-detail/C714002.html,"Through Hole,D2.3xL6.5mm",Tape & Reel (TR),Metal Film Resistor,2.2kΩ,±1%,250mW,,±200ppm/℃,
